[0.99  0.003 0.003 0.003]
0 	 [1.755 0.006 0.006 0.005]
1 	 [1.755 0.006 0.006 0.006]
2 	 [1.755 0.006 0.006 0.007]
3 	 [1.755 0.006 0.006 0.006]
4 	 [1.755 0.006 0.006 0.005]
5 	 [1.755 0.006 0.006 0.006]
6 	 [1.755 0.006 0.006 0.006]
7 	 [1.755 0.006 0.006 0.006]
8 	 [1.755 0.006 0.006 0.006]
9 	 [1.755 0.006 0.006 0.007]
10 	 [1.755 0.006 0.006 0.006]
11 	 [1.755 0.006 0.006 0.005]
12 	 [1.755 0.006 0.006 0.006]
13 	 [1.755 0.006 0.006 0.007]
14 	 [1.755 0.006 0.006 0.005]
15 	 [1.755 0.006 0.006 0.007]
16 	 [1.755 0.006 0.006 0.006]
17 	 [1.755 0.006 0.006 0.006]
18 	 [1.755 0.006 0.006 0.005]
19 	 [1.755 0.006 0.006 0.005]
20 	 [1.755 0.006 0.006 0.008]
21 	 [1.755 0.006 0.006 0.006]
22 	 [1.755 0.006 0.006 0.005]
23 	 [1.755 0.006 0.006 0.007]
24 	 [1.755 0.006 0.006 0.005]
25 	 [1.755 0.006 0.006 0.005]
26 	 [1.755 0.006 0.006 0.005]
27 	 [1.755 0.006 0.006 0.005]
28 	 [1.755 0.006 0.006 0.006]
29 	 [1.755 0.006 0.006 0.006]
30 	 [1.755 0.006 0.006 0.006]
31 	 [1.755 0.006 0.006 0.006]
32 	 [1.755 0.006 0.006 0.006]
33 	 [1.755 0.006 0.006 0.006]
34 	 [1.755 0.006 0.006 0.005]
35 	 [1.755 0.006 0.006 0.006]
36 	 [1.755 0.006 0.006 0.005]
37 	 [1.755 0.006 0.006 0.005]
38 	 [1.755 0.006 0.006 0.006]
39 	 [1.755 0.006 0.006 0.005]
40 	 [1.755 0.006 0.006 0.005]
41 	 [1.755 0.006 0.006 0.007]
42 	 [1.755 0.006 0.006 0.009]
43 	 [1.755 0.006 0.006 0.006]
44 	 [1.755 0.006 0.006 0.005]
45 	 [1.755 0.006 0.006 0.005]
46 	 [1.755 0.006 0.006 0.006]
47 	 [1.755 0.006 0.006 0.005]
48 	 [1.755 0.006 0.006 0.006]
49 	 [1.755 0.006 0.006 0.005]
50 	 [1.755 0.006 0.006 0.006]
51 	 [1.755 0.006 0.006 0.006]
52 	 [1.755 0.006 0.006 0.005]
53 	 [1.755 0.006 0.006 0.006]
54 	 [1.755 0.006 0.006 0.006]
55 	 [1.755 0.006 0.006 0.006]
56 	 [1.755 0.006 0.006 0.006]
57 	 [1.755 0.006 0.006 0.005]
58 	 [1.755 0.006 0.006 0.005]
59 	 [1.755 0.006 0.006 0.007]
60 	 [1.755 0.006 0.006 0.005]
61 	 [1.755 0.006 0.006 0.006]
62 	 [1.755 0.006 0.006 0.005]
63 	 [1.755 0.006 0.006 0.005]
64 	 [1.755 0.006 0.006 0.005]
65 	 [1.755 0.006 0.006 0.005]
66 	 [1.755 0.006 0.006 0.005]
67 	 [1.755 0.006 0.006 0.005]
68 	 [1.755 0.006 0.006 0.006]
69 	 [1.755 0.006 0.006 0.005]
70 	 [1.755 0.006 0.006 0.006]
71 	 [1.755 0.006 0.006 0.007]
72 	 [1.755 0.006 0.006 0.005]
73 	 [1.755 0.006 0.006 0.005]
74 	 [1.755 0.006 0.006 0.005]
75 	 [1.755 0.006 0.006 0.005]
76 	 [1.755 0.006 0.006 0.006]
77 	 [1.755 0.006 0.006 0.005]
78 	 [1.755 0.006 0.006 0.005]
79 	 [1.755 0.006 0.006 0.005]
80 	 [1.755 0.006 0.006 0.005]
81 	 [1.755 0.006 0.006 0.006]
82 	 [1.755 0.006 0.006 0.006]
83 	 [1.755 0.006 0.006 0.008]
84 	 [1.755 0.006 0.006 0.005]
85 	 [1.755 0.006 0.006 0.005]
86 	 [1.755 0.006 0.006 0.005]
87 	 [1.755 0.006 0.006 0.006]
88 	 [1.755 0.006 0.006 0.006]
89 	 [1.755 0.006 0.006 0.006]
90 	 [1.755 0.006 0.006 0.006]
91 	 [1.755 0.006 0.006 0.006]
92 	 [1.755 0.006 0.006 0.006]
93 	 [1.755 0.006 0.006 0.005]
94 	 [1.755 0.006 0.006 0.005]
95 	 [1.755 0.006 0.006 0.005]
96 	 [1.755 0.006 0.006 0.006]
97 	 [1.755 0.006 0.006 0.006]
98 	 [1.755 0.006 0.006 0.005]
99 	 [1.755 0.006 0.006 0.005]
100 	 [1.755 0.006 0.006 0.005]
101 	 [1.755 0.006 0.007 0.035]
102 	 [1.755 0.006 0.006 0.005]
103 	 [1.755 0.006 0.006 0.005]
104 	 [1.755 0.006 0.006 0.005]
105 	 [1.755 0.006 0.006 0.006]
106 	 [1.755 0.006 0.006 0.008]
107 	 [1.755 0.006 0.006 0.005]
108 	 [1.755 0.006 0.006 0.005]
109 	 [1.755 0.006 0.006 0.005]
110 	 [1.755 0.006 0.006 0.006]
111 	 [1.755 0.006 0.006 0.005]
112 	 [1.755 0.006 0.006 0.006]
113 	 [1.755 0.006 0.006 0.006]
114 	 [1.755 0.006 0.006 0.005]
115 	 [1.755 0.006 0.006 0.008]
116 	 [1.755 0.006 0.006 0.006]
117 	 [1.755 0.006 0.006 0.005]
118 	 [1.755 0.006 0.006 0.006]
119 	 [1.755 0.006 0.006 0.006]
120 	 [1.755 0.006 0.006 0.006]
121 	 [1.755 0.006 0.006 0.006]
122 	 [1.755 0.006 0.006 0.006]
123 	 [1.755 0.006 0.006 0.005]
124 	 [1.755 0.006 0.006 0.008]
125 	 [1.755 0.006 0.006 0.006]
126 	 [1.755 0.006 0.006 0.005]
127 	 [1.755 0.006 0.007 0.028]
128 	 [1.755 0.006 0.006 0.005]
129 	 [1.755 0.006 0.006 0.008]
130 	 [1.755 0.006 0.006 0.006]
131 	 [1.755 0.006 0.006 0.005]
132 	 [1.755 0.006 0.007 0.018]
133 	 [1.755 0.006 0.006 0.005]
134 	 [1.755 0.006 0.006 0.005]
135 	 [1.755 0.006 0.006 0.005]
136 	 [1.755 0.006 0.006 0.006]
137 	 [1.755 0.006 0.006 0.01 ]
138 	 [1.755 0.006 0.006 0.005]
139 	 [1.755 0.006 0.006 0.006]
140 	 [1.755 0.006 0.006 0.006]
141 	 [1.755 0.006 0.006 0.005]
142 	 [1.755 0.006 0.006 0.006]
143 	 [1.755 0.006 0.01  0.391]
144 	 [1.755 0.006 0.006 0.007]
145 	 [1.755 0.006 0.006 0.006]
146 	 [1.755 0.006 0.006 0.005]
147 	 [1.755 0.006 0.006 0.005]
148 	 [1.755 0.006 0.006 0.006]
149 	 [1.755 0.006 0.006 0.006]
150 	 [1.755 0.006 0.006 0.005]
151 	 [1.755 0.006 0.006 0.005]
152 	 [1.755 0.006 0.006 0.005]
153 	 [1.755 0.006 0.006 0.006]
154 	 [1.755 0.006 0.006 0.006]
155 	 [1.755 0.006 0.006 0.006]
156 	 [1.755 0.006 0.006 0.005]
157 	 [1.755 0.006 0.006 0.005]
158 	 [1.755 0.006 0.006 0.005]
159 	 [1.755 0.006 0.006 0.006]
160 	 [1.755 0.006 0.006 0.008]
161 	 [1.755 0.006 0.006 0.005]
